mes_trigo,precio_dolar_trigo_ton,precio_COP_trigo_ton,año_impo,impo_canti_miles_ton,fecha_ipc,ipc %,fecha_trm, trm 
07/01/2016,$ 152," $ 449,536 ",,,2021-07,0.32,07/01/2015," $ 84,693 "
08/01/2016,$ 149," $ 442,356 ",,,2021-08,0.45,08/01/2015," $ 93,390 "
09/01/2016,$ 151," $ 440,107 ",,,2021-09,0.38,09/01/2015," $ 91,992 "
10/01/2016,$ 152," $ 444,757 ",,,2021-10,0.01,10/01/2015," $ 90,814 "
11/01/2016,$ 151," $ 466,635 ",,,2021-11,0.5,11/01/2015," $ 90,041 "
12/01/2016,$ 142," $ 426,840 ",,,2021-12,0.73,12/01/2015," $ 100,570 "
01/01/2017,$ 153," $ 451,001 ",,,2022-01,1.67,01/01/2016," $ 101,376 "
02/01/2017,$ 155," $ 446,526 ",,,2022-02,1.63,02/01/2016," $ 97,294 "
03/01/2017,$ 154," $ 454,738 ",,,2022-03,1,03/01/2016," $ 96,992 "
04/01/2017,$ 166," $ 477,230 ",,,2022-04,1.25,04/01/2016," $ 89,932 "
05/01/2017,$ 180," $ 527,714 ",,,2022-05,0.84,05/01/2016," $ 92,799 "
06/01/2017,$ 190," $ 560,108 ",,,2022-06,0.51,06/01/2016," $ 89,786 "
07/01/2017,$ 202," $ 615,606 ",,,2022-07,0.81,07/01/2016," $ 91,791 "
08/01/2017,$ 171," $ 509,561 ",,,2022-08,1.02,08/01/2016," $ 91,536 "
09/01/2017,$ 179," $ 520,998 ",,,2022-09,0.93,09/01/2016," $ 87,728 "
10/01/2017,$ 176," $ 518,413 ",,,2022-10,0.72,10/01/2016," $ 90,811 "
11/01/2017,$ 180," $ 541,906 ",,,2022-11,0.77,11/01/2016," $ 93,308 "
12/01/2017,$ 184," $ 550,766 ",,,2022-12,1.26,12/01/2016," $ 93,306 "
01/01/2018,$ 192," $ 551,567 ",,,,,01/01/2017," $ 91,183 "
02/01/2018,$ 192," $ 549,675 ",,,,,02/01/2017," $ 80,628 "
03/01/2018,$ 192," $ 548,004 ",,,,,03/01/2017," $ 91,211 "
04/01/2018,$ 214," $ 591,501 ",,,,,04/01/2017," $ 86,335 "
05/01/2018,$ 214," $ 611,114 ",,,,,05/01/2017," $ 90,632 "
06/01/2018,$ 219," $ 634,383 ",,,,,06/01/2017," $ 88,713 "
07/01/2018,$ 218," $ 629,517 ",,,,,07/01/2017," $ 94,134 "
08/01/2018,$ 237," $ 700,323 ",,,,,08/01/2017," $ 92,169 "
09/01/2018,$ 212," $ 645,432 ",,,,,09/01/2017," $ 87,513 "
10/01/2018,$ 213," $ 658,178 ",,,,,10/01/2017," $ 91,566 "
11/01/2018,$ 204," $ 650,924 ",,,,,11/01/2017," $ 90,404 "
12/01/2018,$ 211," $ 677,842 ",,,,,12/01/2017," $ 92,745 "
01/01/2019,$ 210," $ 664,280 ",,,,,01/01/2018," $ 88,926 "
02/01/2019,$ 219," $ 681,884 ",,,,,02/01/2018," $ 80,087 "
03/01/2019,$ 206," $ 643,069 ",,,,,03/01/2018," $ 88,286 "
04/01/2019,$ 200," $ 629,805 ",,,,,04/01/2018," $ 82,989 "
05/01/2019,$ 200," $ 659,328 ",,,,,05/01/2018," $ 88,717 "
06/01/2019,$ 206," $ 671,743 ",,,,,06/01/2018," $ 86,691 "
07/01/2019,$ 196," $ 628,339 ",,,,,07/01/2018," $ 89,445 "
08/01/2019,$ 181," $ 618,591 ",,,,,08/01/2018," $ 91,719 "
09/01/2019,$ 190," $ 644,306 ",,,,,09/01/2018," $ 91,013 "
10/01/2019,$ 200," $ 686,292 ",,,,,10/01/2018," $ 95,630 "
11/01/2019,$ 203," $ 689,771 ",,,,,11/01/2018," $ 95,821 "
12/01/2019,$ 211," $ 715,417 ",,,,,12/01/2018," $ 99,775 "
01/01/2020,$ 225," $ 744,712 ",,,,,01/01/2019," $ 98,121 "
02/01/2020,$ 215," $ 734,202 ",,,,,02/01/2019," $ 87,243 "
03/01/2020,$ 209," $ 809,103 ",,,,,03/01/2019," $ 96,989 "
04/01/2020,$ 219," $ 873,017 ",,,,,04/01/2019," $ 94,673 "
05/01/2020,$ 206," $ 794,921 ",,,,,05/01/2019," $ 102,439 "
06/01/2020,$ 198," $ 733,802 ",,,,,06/01/2019," $ 97,816 "
07/01/2020,$ 222," $ 813,297 ",,,,,07/01/2019," $ 99,405 "
08/01/2020,$ 223," $ 844,746 ",,,,,08/01/2019," $ 105,733 "
09/01/2020,$ 248," $ 930,546 ",,,,,09/01/2019," $ 101,984 "
10/01/2020,$ 272," $ 1,043,972 ",,,,,10/01/2019," $ 106,433 "
11/01/2020,$ 273," $ 1,008,062 ",,,,,11/01/2019," $ 102,044 "
12/01/2020,$ 269," $ 930,732 ",,,,,12/01/2019," $ 104,720 "
01/01/2021,$ 289," $ 1,011,414 ",,,,,01/01/2020," $ 102,647 "
02/01/2021,$ 289," $ 1,028,635 ",,,,,02/01/2020," $ 98,921 "
03/01/2021,$ 273," $ 987,911 ",,,,,03/01/2020," $ 120,189 "
04/01/2021,$ 281," $ 1,025,988 ",,,,,04/01/2020," $ 119,322 "
05/01/2021,$ 297," $ 1,112,839 ",,,,,05/01/2020," $ 119,604 "
06/01/2021,$ 286," $ 1,054,536 ",,,,,06/01/2020," $ 111,048 "
07/01/2021,$ 294," $ 1,127,498 ",,,,,07/01/2020," $ 113,394 "
08/01/2021,$ 325," $ 1,262,561 ",,,,,08/01/2020," $ 117,274 "
09/01/2021,$ 338," $ 1,291,789 ",,,,,09/01/2020," $ 112,506 "
10/01/2021,$ 355," $ 1,337,683 ",,,,,10/01/2020," $ 118,847 "
11/01/2021,$ 379," $ 1,477,139 ",,,,,11/01/2020," $ 110,569 "
12/01/2021,$ 377," $ 1,489,725 ",,,,,12/01/2020," $ 107,450 "
01/01/2022,$ 374," $ 1,497,400 ",,,,,01/01/2021," $ 108,231 "
02/01/2022,$ 391," $ 1,538,076 ",,,,,02/01/2021," $ 99,526 "
03/01/2022,$ 486," $ 1,901,569 ",,,,,03/01/2021," $ 111,996 "
04/01/2022,$ 495," $ 1,964,934 ",,,,,04/01/2021," $ 109,523 "
05/01/2022,$ 522," $ 2,071,543 ",,,,,05/01/2021," $ 115,806 "
06/01/2022,$ 460," $ 1,735,651 ",,,,,06/01/2021," $ 110,551 "
07/01/2022,$ 383," $ 1,587,838 ",,,,,07/01/2021," $ 118,712 "
08/01/2022,$ 383," $ 1,625,620 ",,,,,08/01/2021," $ 120,317 "
09/01/2022,$ 419," $ 1,855,311 ",,,,,09/01/2021," $ 114,646 "
10/01/2022,$ 438," $ 2,010,427 ",,,,,10/01/2021," $ 116,975 "
11/01/2022,$ 423," $ 2,070,599 ",,,,,11/01/2021," $ 117,087 "
12/01/2022,$ 386," $ 1,842,520 ",,,,,12/01/2021," $ 122,857 "
,,,,,,,01/01/2022," $ 123,988 "
,,,,,,,02/01/2022," $ 110,203 "
,,,,,,,03/01/2022," $ 118,022 "
,,,,,,,04/01/2022," $ 113,789 "
,,,,,,,05/01/2022," $ 124,591 "
,,,,,,,06/01/2022," $ 117,923 "
,,,,,,,07/01/2022," $ 135,402 "
,,,,,,,08/01/2022," $ 133,997 "
,,,,,,,09/01/2022," $ 133,010 "
,,,,,,,10/01/2022," $ 146,067 "
,,,,,,,11/01/2022," $ 147,800 "
,,,,,,,12/01/2022," $ 148,443 "
,,,,,,,01/01/2023," $ 146,171 "
