mes_trigo;precio_dolar_trigo_ton;precio_COP_trigo_ton;a¤o_impo;impo_canti_miles_ton;fecha_ipc;ipc %;fecha_trm; trm 
1/01/2017;$ 153; $ 451.001 ;;;2022-01;1,67;1/01/2016; $ 101.376 
1/02/2017;$ 155; $ 446.526 ;;;2022-02;1,63;1/02/2016; $ 97.294 
1/03/2017;$ 154; $ 454.738 ;;;2022-03;1;1/03/2016; $ 96.992 
1/04/2017;$ 166; $ 477.230 ;;;2022-04;1,25;1/04/2016; $ 89.932 
1/05/2017;$ 180; $ 527.714 ;;;2022-05;0,84;1/05/2016; $ 92.799 
1/06/2017;$ 190; $ 560.108 ;;;2022-06;0,51;1/06/2016; $ 89.786 
1/07/2017;$ 202; $ 615.606 ;;;2022-07;0,81;1/07/2016; $ 91.791 
1/08/2017;$ 171; $ 509.561 ;;;2022-08;1,02;1/08/2016; $ 91.536 
1/09/2017;$ 179; $ 520.998 ;;;2022-09;0,93;1/09/2016; $ 87.728 
1/10/2017;$ 176; $ 518.413 ;;;2022-10;0,72;1/10/2016; $ 90.811 
1/11/2017;$ 180; $ 541.906 ;;;2022-11;0,77;1/11/2016; $ 93.308 
1/12/2017;$ 184; $ 550.766 ;;;2022-12;1,26;1/12/2016; $ 93.306 
1/01/2018;$ 192; $ 551.567 ;;;;;1/01/2017; $ 91.183 
1/02/2018;$ 192; $ 549.675 ;;;;;1/02/2017; $ 80.628 
1/03/2018;$ 192; $ 548.004 ;;;;;1/03/2017; $ 91.211 
1/04/2018;$ 214; $ 591.501 ;;;;;1/04/2017; $ 86.335 
1/05/2018;$ 214; $ 611.114 ;;;;;1/05/2017; $ 90.632 
1/06/2018;$ 219; $ 634.383 ;;;;;1/06/2017; $ 88.713 
1/07/2018;$ 218; $ 629.517 ;;;;;1/07/2017; $ 94.134 
1/08/2018;$ 237; $ 700.323 ;;;;;1/08/2017; $ 92.169 
1/09/2018;$ 212; $ 645.432 ;;;;;1/09/2017; $ 87.513 
1/10/2018;$ 213; $ 658.178 ;;;;;1/10/2017; $ 91.566 
1/11/2018;$ 204; $ 650.924 ;;;;;1/11/2017; $ 90.404 
1/12/2018;$ 211; $ 677.842 ;;;;;1/12/2017; $ 92.745 
1/01/2019;$ 210; $ 664.280 ;;;;;1/01/2018; $ 88.926 
1/02/2019;$ 219; $ 681.884 ;;;;;1/02/2018; $ 80.087 
1/03/2019;$ 206; $ 643.069 ;;;;;1/03/2018; $ 88.286 
1/04/2019;$ 200; $ 629.805 ;;;;;1/04/2018; $ 82.989 
1/05/2019;$ 200; $ 659.328 ;;;;;1/05/2018; $ 88.717 
1/06/2019;$ 206; $ 671.743 ;;;;;1/06/2018; $ 86.691 
1/07/2019;$ 196; $ 628.339 ;;;;;1/07/2018; $ 89.445 
1/08/2019;$ 181; $ 618.591 ;;;;;1/08/2018; $ 91.719 
1/09/2019;$ 190; $ 644.306 ;;;;;1/09/2018; $ 91.013 
1/10/2019;$ 200; $ 686.292 ;;;;;1/10/2018; $ 95.630 
1/11/2019;$ 203; $ 689.771 ;;;;;1/11/2018; $ 95.821 
1/12/2019;$ 211; $ 715.417 ;;;;;1/12/2018; $ 99.775 
1/01/2020;$ 225; $ 744.712 ;;;;;1/01/2019; $ 98.121 
1/02/2020;$ 215; $ 734.202 ;;;;;1/02/2019; $ 87.243 
1/03/2020;$ 209; $ 809.103 ;;;;;1/03/2019; $ 96.989 
1/04/2020;$ 219; $ 873.017 ;;;;;1/04/2019; $ 94.673 
1/05/2020;$ 206; $ 794.921 ;;;;;1/05/2019; $ 102.439 
1/06/2020;$ 198; $ 733.802 ;;;;;1/06/2019; $ 97.816 
1/07/2020;$ 222; $ 813.297 ;;;;;1/07/2019; $ 99.405 
1/08/2020;$ 223; $ 844.746 ;;;;;1/08/2019; $ 105.733 
1/09/2020;$ 248; $ 930.546 ;;;;;1/09/2019; $ 101.984 
1/10/2020;$ 272; $ 1.043.972 ;;;;;1/10/2019; $ 106.433 
1/11/2020;$ 273; $ 1.008.062 ;;;;;1/11/2019; $ 102.044 
1/12/2020;$ 269; $ 930.732 ;;;;;1/12/2019; $ 104.720 
1/01/2021;$ 289; $ 1.011.414 ;;;;;1/01/2020; $ 102.647 
1/02/2021;$ 289; $ 1.028.635 ;;;;;1/02/2020; $ 98.921 
1/03/2021;$ 273; $ 987.911 ;;;;;1/03/2020; $ 120.189 
1/04/2021;$ 281; $ 1.025.988 ;;;;;1/04/2020; $ 119.322 
1/05/2021;$ 297; $ 1.112.839 ;;;;;1/05/2020; $ 119.604 
1/06/2021;$ 286; $ 1.054.536 ;;;;;1/06/2020; $ 111.048 
1/07/2021;$ 294; $ 1.127.498 ;;;;;1/07/2020; $ 113.394 
1/08/2021;$ 325; $ 1.262.561 ;;;;;1/08/2020; $ 117.274 
1/09/2021;$ 338; $ 1.291.789 ;;;;;1/09/2020; $ 112.506 
1/10/2021;$ 355; $ 1.337.683 ;;;;;1/10/2020; $ 118.847 
1/11/2021;$ 379; $ 1.477.139 ;;;;;1/11/2020; $ 110.569 
1/12/2021;$ 377; $ 1.489.725 ;;;;;1/12/2020; $ 107.450 
1/01/2022;$ 374; $ 1.497.400 ;;;;;1/01/2021; $ 108.231 
1/02/2022;$ 391; $ 1.538.076 ;;;;;1/02/2021; $ 99.526 
1/03/2022;$ 486; $ 1.901.569 ;;;;;1/03/2021; $ 111.996 
1/04/2022;$ 495; $ 1.964.934 ;;;;;1/04/2021; $ 109.523 
1/05/2022;$ 522; $ 2.071.543 ;;;;;1/05/2021; $ 115.806 
1/06/2022;$ 460; $ 1.735.651 ;;;;;1/06/2021; $ 110.551 
1/07/2022;$ 383; $ 1.587.838 ;;;;;1/07/2021; $ 118.712 
1/08/2022;$ 383; $ 1.625.620 ;;;;;1/08/2021; $ 120.317 
1/09/2022;$ 419; $ 1.855.311 ;;;;;1/09/2021; $ 114.646 
1/10/2022;$ 438; $ 2.010.427 ;;;;;1/10/2021; $ 116.975 
1/11/2022;$ 423; $ 2.070.599 ;;;;;1/11/2021; $ 117.087 
1/12/2022;$ 386; $ 1.842.520 ;;;;;1/12/2021; $ 122.857 
;;;;;;;1/01/2022; $ 123.988 
;;;;;;;1/02/2022; $ 110.203 
;;;;;;;1/03/2022; $ 118.022 
;;;;;;;1/04/2022; $ 113.789 
;;;;;;;1/05/2022; $ 124.591 
;;;;;;;1/06/2022; $ 117.923 
;;;;;;;1/07/2022; $ 135.402 
;;;;;;;1/08/2022; $ 133.997 
;;;;;;;1/09/2022; $ 133.010 
;;;;;;;1/10/2022; $ 146.067 
;;;;;;;1/11/2022; $ 147.800 
;;;;;;;1/12/2022; $ 148.443 
;;;;;;;1/01/2023; $ 146.171 
